timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
5799.0,-625.0,-486.0,1.0,-629.0,-562.0,1.0,786.0,824.5,1.0,769.75,889.25,1.0,-10.37,10.46
5800.0,-623.0,-489.25,1.0,-645.0,-631.5,1.0,785.0,823.0,1.0,762.5,1092.0,1.0,-10.37,10.46
5801.0,-623.5,-686.0,1.0,-633.0,-634.0,1.0,784.0,821.5,1.0,757.0,956.25,1.0,-10.37,10.46
5802.0,-612.0,-491.5,1.0,-617.5,-511.5,1.0,783.0,820.0,1.0,752.0,1030.5,1.0,-10.37,10.37
5803.0,-618.0,-501.0,1.0,-634.25,-393.0,1.0,782.0,818.5,1.0,755.5,977.5,1.0,-10.0875,10.0875
5804.0,-636.5,-664.5,1.0,-646.5,-664.0,1.0,781.0,817.0,1.0,777.5,847.75,1.0,-9.195,9.08375
5805.0,-648.5,-679.5,1.0,-674.25,-531.75,1.0,775.75,741.25,1.0,779.5,721.5,1.0,-7.175,7.1075
5806.0,-665.0,-601.0,1.0,-705.0,-725.5,1.0,770.5,665.5,1.0,769.25,754.25,1.0,-5.62125,5.5425
5807.0,-684.25,-473.75,1.0,-707.25,-601.5,1.0,765.25,589.75,1.0,760.5,813.5,1.0,-5.17,5.125
5808.0,-691.0,-461.0,1.0,-695.5,-591.0,1.0,760.0,514.0,1.0,759.0,853.0,1.0,-4.6725,4.57125
5809.0,-690.75,-489.5,1.0,-692.5,-723.5,1.0,762.5,604.8333333333334,1.0,755.5,784.25,1.0,-4.31,4.175
5810.0,-697.5,-708.0,1.0,-690.25,-580.0,1.0,765.0,695.6666666666666,1.0,757.5,677.5,1.0,-4.22625,4.11375
5811.0,-710.5,-598.0,1.0,-695.5,-340.5,1.0,767.5,786.5,1.0,764.5,645.5,1.0,-4.13,4.13
5812.0,-711.5,-365.5,1.0,-712.0,-393.5,1.0,768.0,777.3478260869565,1.0,779.5,651.0,1.0,-4.13875,4.13875
5813.0,-727.0,-584.5,1.0,-729.0,-420.5,1.0,768.5,768.195652173913,1.0,778.75,794.75,1.0,-4.13,4.13
5814.0,-737.75,-571.75,1.0,-739.0,-485.5,1.0,769.0,759.0434782608695,1.0,789.5,810.0,1.0,-4.13,4.13
5815.0,-741.5,-406.0,1.0,-758.25,-611.25,1.0,769.5,749.8913043478261,1.0,800.0,722.0,1.0,-4.13,4.13
5816.0,-742.0,-319.0,1.0,-765.5,-701.0,1.0,770.0,740.7391304347826,1.0,798.5,760.25,1.0,-4.13,4.13
5817.0,-750.5,-393.75,1.0,-759.5,-565.5,1.0,770.5,731.5869565217391,1.0,798.0,673.0,1.0,-4.13,4.13
5818.0,-749.5,-349.5,1.0,-755.0,-460.5,1.0,771.0,722.4347826086956,1.0,812.75,704.0,1.0,-4.213749999999999,4.213749999999999
5819.0,-748.0,-356.5,1.0,-747.0,-425.5,1.0,771.5,713.2826086956521,1.0,806.0,574.5,1.0,-5.0225,5.0225
5820.0,-755.0,-525.0,1.0,-742.5,-289.75,1.0,772.0,704.1304347826087,1.0,806.5,684.5,1.0,-6.279999999999999,6.26
